"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.996108583E0,1.589617104E-1,-2.465041218E-1,9.805614004E0
3.006037583E0,1.589197749E-1,-2.463936094E-1,9.805617512E0
3.015966583E0,1.582392869E-1,-2.462957964E-1,9.805630960E0
3.025895583E0,1.571734491E-1,-2.463503217E-1,9.805646748E0
3.035824583E0,1.557846806E-1,-2.464534703E-1,9.805666044E0
3.045753583E0,1.543414598E-1,-2.465717302E-1,9.805685924E0
3.055682583E0,1.528129611E-1,-2.463874333E-1,9.805714576E0
3.065611583E0,1.514997953E-1,-2.463313366E-1,9.805736795E0
3.075540583E0,1.501053622E-1,-2.464366230E-1,9.805755506E0
3.085468583E0,1.485981602E-1,-2.463840346E-1,9.805779480E0
3.095397583E0,1.471380830E-1,-2.464384320E-1,9.805800530E0
3.105326583E0,1.458709274E-1,-2.464662793E-1,9.805818656E0
3.115255583E0,1.448258655E-1,-2.465226684E-1,9.805832689E0
3.125184583E0,1.440207405E-1,-2.464755435E-1,9.805845553E0
3.135113583E0,1.436394563E-1,-2.464770419E-1,9.805851400E0
3.145042583E0,1.440529824E-1,-2.464329502E-1,9.805846138E0
3.154971583E0,1.450036118E-1,-2.462545005E-1,9.805836782E0
3.164900583E0,1.465301279E-1,-2.463350276E-1,9.805812224E0
3.174829583E0,1.485541964E-1,-2.463673883E-1,9.805780649E0
3.184758583E0,1.506143623E-1,-2.463421539E-1,9.805749659E0
3.194687583E0,1.530337301E-1,-2.464256412E-1,9.805710483E0
3.204615583E0,1.553716844E-1,-2.464014118E-1,9.805674230E0
3.214544583E0,1.578877048E-1,-2.463787721E-1,9.805634469E0
3.224473583E0,1.603816884E-1,-2.462871901E-1,9.805596462E0
3.234402583E0,1.625654407E-1,-2.463697089E-1,9.805558455E0
3.244331583E0,1.645497482E-1,-2.463939018E-1,9.805524541E0
3.254260583E0,1.657683262E-1,-2.464881698E-1,9.805501737E0
3.264189583E0,1.657513510E-1,-2.463252153E-1,9.805506415E0
3.274118583E0,1.643621257E-1,-2.461020709E-1,9.805535066E0
3.284047583E0,1.611709164E-1,-2.459305465E-1,9.805592369E0
3.293976583E0,1.566006412E-1,-2.458355840E-1,9.805668967E0
3.303905583E0,1.509301211E-1,-2.458053247E-1,9.805758430E0
3.313834583E0,1.449172374E-1,-2.458935994E-1,9.805846723E0
3.323763583E0,1.391222173E-1,-2.460270073E-1,9.805927414E0
3.333691583E0,1.339113980E-1,-2.460043676E-1,9.806000504E0
3.343620583E0,1.294137928E-1,-2.458767338E-1,9.806064239E0
3.353549583E0,1.254576306E-1,-2.458250042E-1,9.806116864E0
3.363478583E0,1.217481296E-1,-2.458088878E-1,9.806164227E0
3.373407583E0,1.183346713E-1,-2.457839275E-1,9.806206326E0
3.383336583E0,1.158033842E-1,-2.457722148E-1,9.806237317E0
3.393265583E0,1.141746332E-1,-2.459341279E-1,9.806251935E0
3.403194583E0,1.135492643E-1,-2.459291029E-1,9.806259536E0
3.413123583E0,1.136619329E-1,-2.460366552E-1,9.806255443E0
3.423052583E0,1.145525734E-1,-2.458700278E-1,9.806249596E0
3.432981583E0,1.152002348E-1,-2.456792624E-1,9.806246672E0
3.442910583E0,1.153662957E-1,-2.456436857E-1,9.806245503E0
3.452839583E0,1.148169133E-1,-2.456801029E-1,9.806250765E0
3.462767583E0,1.137503537E-1,-2.456453851E-1,9.806264214E0
3.472696583E0,1.124455567E-1,-2.456019147E-1,9.806280586E0
3.482625583E0,1.116211724E-1,-2.455529991E-1,9.806291111E0
3.492554583E0,1.110520464E-1,-2.454147490E-1,9.806301051E0
