"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.011285167E0,-1.753229689E-1,-3.034763579E-1,9.803737047E0
3.021214167E0,-1.758577699E-1,-3.033638355E-1,9.803731200E0
3.031143167E0,-1.756784066E-1,-3.032666255E-1,9.803737632E0
3.041072167E0,-1.760026712E-1,-3.033758223E-1,9.803728276E0
3.051001167E0,-1.762952147E-1,-3.033023849E-1,9.803725353E0
3.060929167E0,-1.765526384E-1,-3.031853492E-1,9.803724183E0
3.070858167E0,-1.762410914E-1,-3.032713033E-1,9.803727107E0
3.080787167E0,-1.757130330E-1,-3.032322183E-1,9.803737632E0
3.090716167E0,-1.748948431E-1,-3.032488098E-1,9.803751665E0
3.100645167E0,-1.736805409E-1,-3.033669601E-1,9.803769792E0
3.110574167E0,-1.724014442E-1,-3.034923829E-1,9.803788503E0
3.120503167E0,-1.713027524E-1,-3.035558252E-1,9.803806044E0
3.130432167E0,-1.704614294E-1,-3.034287396E-1,9.803824171E0
3.140361167E0,-1.698202457E-1,-3.033869137E-1,9.803837035E0
3.150290167E0,-1.693820151E-1,-3.035761260E-1,9.803838789E0
3.160219167E0,-1.689791054E-1,-3.037379659E-1,9.803840543E0
3.170147167E0,-1.687695010E-1,-3.036425832E-1,9.803846975E0
3.180076167E0,-1.686244535E-1,-3.036779954E-1,9.803848729E0
3.190005167E0,-1.689373344E-1,-3.035618734E-1,9.803846975E0
3.199934167E0,-1.694819660E-1,-3.036465849E-1,9.803834696E0
3.209863167E0,-1.703760600E-1,-3.036751632E-1,9.803818324E0
3.219792167E0,-1.714772187E-1,-3.036812845E-1,9.803799028E0
3.229721167E0,-1.727364714E-1,-3.037985212E-1,9.803773300E0
3.239650167E0,-1.739900596E-1,-3.038288901E-1,9.803749911E0
3.249579167E0,-1.745844291E-1,-3.039611286E-1,9.803735293E0
3.259508167E0,-1.745446680E-1,-3.038434351E-1,9.803739971E0
3.269436167E0,-1.746618681E-1,-3.042257334E-1,9.803725938E0
3.279365167E0,-1.743604807E-1,-3.045095974E-1,9.803722429E0
3.289294167E0,-1.751926126E-1,-3.049005386E-1,9.803695532E0
3.299223167E0,-1.783147699E-1,-3.050719716E-1,9.803633552E0
3.309152167E0,-1.826082342E-1,-3.049517200E-1,9.803558707E0
3.319081167E0,-1.911912707E-1,-3.051775687E-1,9.803387969E0
3.329010167E0,-2.024848571E-1,-3.049408844E-1,9.803168698E0
3.338939167E0,-2.150104884E-1,-3.049561054E-1,9.802901480E0
3.348868167E0,-2.305435437E-1,-3.050509034E-1,9.802545385E0
3.358797167E0,-2.468526889E-1,-3.048838740E-1,9.802153037E0
3.368725167E0,-2.622503812E-1,-3.049334657E-1,9.801751918E0
3.378654167E0,-2.750807803E-1,-3.049318943E-1,9.801400500E0
3.388583167E0,-2.854163552E-1,-3.046660104E-1,9.801112817E0
3.398512167E0,-2.913940369E-1,-3.031831931E-1,9.800983009E0
3.408441167E0,-2.907463847E-1,-3.046414887E-1,9.800957281E0
3.418370167E0,-2.839445197E-1,-3.032730209E-1,9.801198771E0
3.428299167E0,-2.652916459E-1,-3.038786280E-1,9.801702801E0
3.438228167E0,-2.293244540E-1,-3.034318094E-1,9.802624322E0
3.448157167E0,-1.664591747E-1,-3.028964054E-1,9.803909540E0
3.458086167E0,-6.531143911E-2,-3.037029009E-1,9.805080153E0
3.468015167E0,8.677368527E-2,-3.007144255E-1,9.805005893E0
3.477943167E0,2.976418051E-1,-2.997586616E-1,9.800900563E0
3.487872167E0,5.638956834E-1,-2.969041423E-1,9.789278052E0
3.497801167E0,8.752055378E-1,-2.920249149E-1,9.766516011E0
3.507730167E0,1.224839725E0,-2.851595528E-1,9.729056994E0
3.517659167E0,1.591472352E0,-2.780236474E-1,9.676053738E0
3.527588167E0,1.954482995E0,-2.753955615E-1,9.609383785E0
3.537517167E0,2.294837870E0,-2.731402721E-1,9.533897985E0
3.547446167E0,2.609962886E0,-2.748805862E-1,9.452440424E0
3.557375167E0,2.900660136E0,-2.776049319E-1,9.367241229E0
3.567304167E0,3.166580394E0,-2.782732869E-1,9.280701853E0
3.577233167E0,3.410747548E0,-2.773839072E-1,9.193799949E0
3.587161167E0,3.638443973E0,-2.776545054E-1,9.106082359E0
3.597090167E0,3.851790453E0,-2.792249944E-1,9.017862493E0
3.607019167E0,4.052329193E0,-2.788286811E-1,8.929556673E0
3.616948167E0,4.242896090E0,-2.768827643E-1,8.840659699E0
3.626877167E0,4.423050851E0,-2.743184130E-1,8.751997783E0
3.636806167E0,4.599052042E0,-2.722209802E-1,8.660872436E0
3.646735167E0,4.773223055E0,-2.719439501E-1,8.566124738E0
3.656664167E0,4.940305488E0,-2.707958858E-1,8.470900492E0
3.666593167E0,5.105886356E0,-2.686350838E-1,8.372207678E0
3.676522167E0,5.258420917E0,-2.665853241E-1,8.277320817E0
3.686450167E0,5.389925382E0,-2.661603229E-1,8.192311656E0
3.696379167E0,5.500705560E0,-2.649849960E-1,8.118382385E0
3.706308167E0,5.589494945E0,-2.625670993E-1,8.057586545E0
3.716237167E0,5.655771965E0,-2.603707754E-1,8.011276597E0
3.726166167E0,5.700471005E0,-2.579630930E-1,7.979611001E0
3.736095167E0,5.721961277E0,-2.569665630E-1,7.964247442E0
3.746024167E0,5.721847256E0,-2.585949578E-1,7.964275509E0
3.755953167E0,5.701777858E0,-2.634886022E-1,7.978495937E0
3.765882167E0,5.664829887E0,-2.701723899E-1,8.004549376E0
3.775811167E0,5.618619926E0,-2.761958626E-1,8.036848226E0
