"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.579106500E0,4.420421578E-1,1.604876327E-1,-9.798720721E0
3.589035500E0,4.248472507E-1,1.596283112E-1,-9.799493723E0
3.598964500E0,4.095727520E-1,1.575727957E-1,-9.800177262E0
3.608893500E0,3.987372036E-1,1.547884429E-1,-9.800668429E0
3.618822500E0,3.917252591E-1,1.524352584E-1,-9.800992949E0
3.628751500E0,3.898247678E-1,1.507211837E-1,-9.801095275E0
3.638681500E0,3.937850504E-1,1.496736550E-1,-9.800950264E0
3.648610500E0,4.024805910E-1,1.491325500E-1,-9.800604694E0
3.658539500E0,4.144561272E-1,1.488978026E-1,-9.800109435E0
3.668468500E0,4.245859898E-1,1.493527433E-1,-9.799669724E0
3.678397500E0,4.314718171E-1,1.506074279E-1,-9.799352805E0
3.688326500E0,4.301586787E-1,1.524995595E-1,-9.799379117E0
3.698255500E0,4.205019655E-1,1.552428629E-1,-9.799756263E0
3.708184500E0,4.040942764E-1,1.583745951E-1,-9.800395364E0
3.718113500E0,3.845629681E-1,1.613882318E-1,-9.801129774E0
3.728042500E0,3.684453009E-1,1.640699476E-1,-9.801702801E0
3.737971500E0,3.594189541E-1,1.662020982E-1,-9.802005687E0
3.747900500E0,3.590720315E-1,1.682466320E-1,-9.801982883E0
3.757829500E0,3.653179176E-1,1.700143184E-1,-9.801721512E0
3.767758500E0,3.732516025E-1,1.715813905E-1,-9.801396992E0
3.777687500E0,3.779096772E-1,1.731425970E-1,-9.801190000E0
3.787616500E0,3.767315364E-1,1.741463447E-1,-9.801215143E0
3.797546500E0,3.693779683E-1,1.745493275E-1,-9.801489962E0
3.807475500E0,3.584260238E-1,1.744918238E-1,-9.801899267E0
3.817404500E0,3.469963251E-1,1.738848828E-1,-9.802317928E0
3.827332417E0,3.383957287E-1,1.725749238E-1,-9.802642449E0
3.837261417E0,3.332253283E-1,1.705225511E-1,-9.802859380E0
